specialtycontactdatabases.com,JayDunsing@gmail.com,LO-EmailListcom LLC,,,,,,"7094 W. Foothills Acacia Pl, Marana, AZ 85658, United States","Fill out a form on my website or simply send an email making the request.  However, the lists we provide are for business to business purposes only.  We will be launching a secondary website specialtycontactdatabases.com in January 2020."
apolloprogram.com,privacy@apolloprogram.com,Apollo Program LLC,,,,,,"536 Broadway, Floor 9, New York, NY 10012, United States",
,ccpa@beenverified.com,"BeenVerified, Inc. and its subsidiaries and affiliates",,,,,,"48 West 38th Street, 8th Floor, New York, NY 10018, United States",Via https://www.beenverified.com/app/optout/search or other similar links provided on our website or by emailing us at support@beenverified.com or by calling us at 888-579-5910
pubmatic.com,privacy@pubmatic.com,"PubMatic, Inc.",,,,,,"305 Main Street, First Floor, Redwood City, CA 94063, United States","PubMatic does not engage in the business of publicly posting personal information. , , California consumers may contact PubMatic as follows:, , - Opting out through the mechanisms described at https://pubmatic.com/legal/privacy-policy, - Submitting an email request to privacy@pubmatic.com, - Submitting a physical request to: PubMatic, Inc., Attn: Legal Department, 305 Main Street, First Floor, Redwood City, CA 94063, USA, "
loopme.com,legal@loopme.com,LoopMe Inc,,,,,,"22 West 19th Street, New York, NY 10011, United States","A California resident can request deletion of their data either (1) by contacting LoopMe via email at privacy@loopme.com; or (2) via telephone on LoopMe's toll free number on 1-866-I-OPT-OUT (1-866-467-8688) and entering service code 815#; or (3) via mail to LoopMe, 22 West 19th Street, New York, NY1011 Att: Legal."
wealthx.com,marketing@wealthx.com,Wealth-X LLC,,,,,,"142 West 36th street, 12th floor, NY, NY 10018, United States", marketing@wealthx.com
reachmarketing.com,info@reachmarketing.com,Reach Marketing LLC,,,,,,"2 Blue Hill Plaza, Pearl River, NY 10965, United States","California Residents, , California law permits California residents to request certain information regarding our disclosure of your personal information to third parties for their direct marketing purposes, as well as deletion, removal and/or transfer of your personal information. To make such a request, please send an email to info@reachmarketing.com specifying that you seek your “California Customer Choice Notice” in the subject line., , “Do Not Track” is a privacy preference that users can set in their web browsers. When a user turns on a Do Not Track signal in their browser, the browser sends a message to websites requesting that they do not track the user., , You can also contact us by mail:, Reach Marketing, Two Blue Hill Plaza, Concourse Level, Pearl River, NY 10965, , Visitors can also choose not to accept cookies. Your Web browser may alert and permit you to refuse cookies. Please check with the company operating your browser for more information on how to change those browser-level settings. Please note that disabling cookies for some services may affect your ability to use that service."
audiencerate.com,gl@audiencerate.com,Audiencerate Ltd ,,,,,,"Winnington House 2 Woodberry Grove, North Finchley, London, N12 0DR, United Kingdom","Please see our Privacy Policy https://www.audiencerate.com/privacy/, Or you can send an e-mail to: dpo@audiencerate.com, , "
paramountdirectmarketing.com,ccpa@paramountdirectmarketing.com,"Paramount Lists, Inc.",,,,,,"3126 Peach St, Erie, PA 16508, United States",Web form and email 
startapp.com,privacy@startapp.com,StartApp Inc.,,,,,,"584 Broadway St., Manhattan, New York, NY 10012, United States","Consumer can contact StartApp through any of the following emails: support@startapp.com or privacy@startapp.com, Following receiving a request and identity validation, StartApp will delete the individual MAID, which is the only unique identifier StartApp stores and processes. Deletion will cause anonymization of the individual's information., StartApp data collection practices, including opt out and deletion rights of individuals, are available at StartApp end user privacy policy, available at: https://www.startapp.com/policy/privacy-policy/. , "
adcolony.com,privacy@adcolony.com,"AdColony, Inc.",,,,,,"1888 Century Park E, #1450, Los Angeles, CA 90067, United States","We do not collect or process information pertinent to Gov. Code sections 6208.1(b) or 6254.21(c)(1), but consumers may exercise a request for deletion by visiting our privacy policy page at: https://www.adcolony.com/privacy-policy/ . "
hygenicsdata.com,HDI_support@hygenicsdata.com,"HD Information, LLC",,,,,,"9901 Linn Station Rd., Suite 500, Louisville, KY 40223, United States",Not Applicable
samba.tv,privacy@samba.tv,Free Stream Media Corp. DBA Samba TV,,,,,,"118 King St. Suite 100, San Francisco, CA 94107, United States","California consumers may request that we delete any personal information that we hold about them by contacting us directly via email, webform, or postal mail., , Email:, privacy@samba.tv, , Webform:, https://privacyportal.onetrust.com/webform/87c5ee85-893d-4972-ba26-2e82b743d041/d84d9664-facb-4de3-85fd-a2e339b73dbf, , Postal:, Free Stream Media Corp., 118 King St. Suite 100, San Francisco, CA 94107"
zetaglobal.com,privacy@zetaglobal.com,Zeta Global,,,,,,"3 Park Ave., 33rd Floor, New York, NY 10016-4325, United States","For deterministic (fully identifiable) data, a request can be made here: https://privacyportal-cdn.onetrust.com/dsarwebform/bc2d3301-11a5-4de5-b15e-ce796187a352/d0720d0f-d427-4a7d-a773-5d6793229f15.html, For programmatic data (which is maintained in a pseudonymous format), this tool enables individuals to exercise CCPA rights: https://zetaglobal.com/rights-request/ "
bidswitch.com,privacy@bidswitch.net,BIDSWITCH GmbH,,,,,,"Bahnhofstrasse 28, Postfach 7563, 6302 Zug, Switzerland","Please visit our Privacy Policy, specifically the section ""Your Data Subject Rights""., https://www.bidswitch.com/privacy-policy/#rights"
themediagrid.com,privacy@themediagrid.net,The MediaGrid Inc.,,,,,,"625 Broadway, 10th Floor, New York, NY 10012, United States","Please visit our Privacy Policy, specifically the section ""Your Data Subject Rights""., https://www.themediagrid.com/privacy-policy#rights, "
cadent.tv,privacy@cadent.tv,"Cadent, LLC",,,,,,"1675 Broadway 22nd Floor, New York, NY 10019, United States",https://cadent.tv/privacy-policy
leadloft.com,privacy@leadloft.com,LeadLoft Inc.,,,,,,"4712 Admiralty Way #1116, Marina Del Rey, CA 90292, United States","Consumers can request deletion by visiting https://www.leadloft.com/user-agreements/personal-data and completing the online form, or contacting LeadLoft at privacy@leadloft.com."
kochava.com,legal@kochava.com,Kochava Inc.,,,,,,"201 Church Street, Sandpoint, ID 83864, United States",
hivestack.com,privacy@hivestack.com,"Hivestack, Inc.",,,,,,"118 Rue Saint-Pierre, Montreal, QC H2Y 2L7, Canada","An individual can submit a deletion request by contacting Hivestack’s Chief Privacy Officer at:, , Hivestack, 118 Rue Saint-Pierre, Montréal, QC H2Y 2L7, Tel : +1 866-552-9924, Email : Privacy@hivestack.com, , Attention: Chief Privacy Officer, , If necessary, Hivestack may request additional information to verify an individuals identity. We use MAIDs (mobile advertising identifiers) and do not have access to email addresses, names, or phone numbers. Please also include your device identifier with your request in order that we can complete any deletion."
tutela.com,data.protection.officer@tutela.com,Tutela Technologies Ltd.,,,,,,"838 Fort Street, 320, Victoria, BC V8W 1H8, Canada","Not applicable, "
coresignal.com,privacy@coresignal.com,Deeptrace Inc.,,,,,,"630 Third Ave. Suite 1502, New York, NY 10017, United States","We do not post information online for public view, but if a protected individual opts out, the data is not being used anymore and is deleted., , Protected individuals may also submit their requests by contacting us at privacy@coresignal.com., "
realitydebtsolutions.com,cform@realitymediainc.com,"Reality Media, Inc.",,,,,,"1914 E. 9400 S. #201, Sandy, UT 84093, United States","To opt out, please contact us at: cform@realitymediainc.com., , For all requests you must indicate the following in the subject line: “CCPA Opt-Out”. In your email, please include the original information you provided including: 1) your name, 2) phone number, 3) email address, 4) city, state, and zip code."
vertify.com,legal@vertify.com,"Vertify, Inc",,,,,,"2301 E RIVERSIDE DR STE 200, Austin, TX 78741, United States",N/A. We do not post information online 
vrtcal.com,privacy@vrtcal.com,"VRTCAL Markets, Inc.",,,,,,"351 Paseo Nuevo, Santa Barbara, CA 93108, United States",We do not have access to home address or telephone number of any individuals in our advertising transactions.
diligent.com,Privacy@Diligent.com,Diligent Corporation,,,,,,"111 West 33rd Street, 16th Floor, New York, NY 10120, United States",Our Data Protection Officer can be contacted at: privacy@diligent.com.
growbots.com,privacy@growbots.com,Growbots Inc.,,,,,,"1015 Fillmore St. PMB 18339, San Francisco, CA 94115, United States","A consumer may submit a request to delete their data by emailing us at privacy@growbots.com or by clicking a link on the ""Do Not Sell My Information"" link on our web page (https://www.growbots.com/do-not-sell-my-info/) and choosing I want to delete my personal information"". Once the form is filled in and request submitted, we will verify the request and should it be verified positively, we will delete any information posted online as well as opt the requestor out of sales. More information is available in our Privacy Policy (https://www.growbots.com/privacy/)."
